TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es
Canarias,ES70,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,5.8,,
Canarias,ES70,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,,
Canarias,ES70,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.3,,
Las Palmas,ES701,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,62.8,,
Las Palmas,ES701,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,63.5,,
Las Palmas,ES701,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,63.4,,
Las Palmas,ES701,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,63.5,,
Las Palmas,ES701,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,63.1,,
Las Palmas,ES701,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,56.9,,
Las Palmas,ES701,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,58.8,,
Las Palmas,ES701,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,61.8,,
Las Palmas,ES701,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,61.8,,
Las Palmas,ES701,2015,2015,Otros ingresos,OTROS_INGRESOS,12.5,,
Las Palmas,ES701,2016,2016,Otros ingresos,OTROS_INGRESOS,12.6,,
Las Palmas,ES701,2017,2017,Otros ingresos,OTROS_INGRESOS,13,,
Las Palmas,ES701,2018,2018,Otros ingresos,OTROS_INGRESOS,13.3,,
Las Palmas,ES701,2019,2019,Otros ingresos,OTROS_INGRESOS,13.4,,
Las Palmas,ES701,2020,2020,Otros ingresos,OTROS_INGRESOS,11.4,,
Las Palmas,ES701,2021,2021,Otros ingresos,OTROS_INGRESOS,12.9,,
Las Palmas,ES701,2022,2022,Otros ingresos,OTROS_INGRESOS,13.7,,
Las Palmas,ES701,2023,2023,Otros ingresos,OTROS_INGRESOS,14,,
Las Palmas,ES701,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,3.6,,
Las Palmas,ES701,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,3.7,,
Las Palmas,ES701,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,3.9,,
Las Palmas,ES701,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,3.9,,
Las Palmas,ES701,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,4.1,,
Las Palmas,ES701,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,4.7,,
Las Palmas,ES701,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,5,,
Las Palmas,ES701,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.9,,
Las Palmas,ES701,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,5,,
Las Palmas,ES701,2015,2015,Pensiones,PENSIONES,17.3,,
Las Palmas,ES701,2016,2016,Pensiones,PENSIONES,17,,
Las Palmas,ES701,2017,2017,Pensiones,PENSIONES,16.7,,
Las Palmas,ES701,2018,2018,Pensiones,PENSIONES,16.5,,
Las Palmas,ES701,2019,2019,Pensiones,PENSIONES,16.6,,
Las Palmas,ES701,2020,2020,Pensiones,PENSIONES,18.1,,
Las Palmas,ES701,2021,2021,Pensiones,PENSIONES,17.4,,
Las Palmas,ES701,2022,2022,Pensiones,PENSIONES,17.1,,
Las Palmas,ES701,2023,2023,Pensiones,PENSIONES,17,,
Las Palmas,ES701,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.8,,
Las Palmas,ES701,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.3,,
Las Palmas,ES701,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3,,
Las Palmas,ES701,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,
Las Palmas,ES701,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,
Las Palmas,ES701,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,8.9,,
Las Palmas,ES701,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,6,,
Las Palmas,ES701,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.5,,
Las Palmas,ES701,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.3,,
Lanzarote,ES708,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,67.2,,
Lanzarote,ES708,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,68,,
Lanzarote,ES708,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,68.1,,
Lanzarote,ES708,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,67.6,,
Lanzarote,ES708,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,67.4,,
Lanzarote,ES708,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,57.1,,
Lanzarote,ES708,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,58.5,,
Lanzarote,ES708,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,65.4,,
Lanzarote,ES708,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,65.5,,
Lanzarote,ES708,2015,2015,Otros ingresos,OTROS_INGRESOS,13.4,,
Lanzarote,ES708,2016,2016,Otros ingresos,OTROS_INGRESOS,13.3,,
Lanzarote,ES708,2017,2017,Otros ingresos,OTROS_INGRESOS,14,,
Lanzarote,ES708,2018,2018,Otros ingresos,OTROS_INGRESOS,14.7,,
Lanzarote,ES708,2019,2019,Otros ingresos,OTROS_INGRESOS,14.6,,
Lanzarote,ES708,2020,2020,Otros ingresos,OTROS_INGRESOS,12,,
Lanzarote,ES708,2021,2021,Otros ingresos,OTROS_INGRESOS,14.6,,
Lanzarote,ES708,2022,2022,Otros ingresos,OTROS_INGRESOS,15.6,,
Lanzarote,ES708,2023,2023,Otros ingresos,OTROS_INGRESOS,16.2,,
Lanzarote,ES708,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,2.3,,
Lanzarote,ES708,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,2.4,,
Lanzarote,ES708,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,2.5,,
Lanzarote,ES708,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,2.7,,
Lanzarote,ES708,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,2.8,,
Lanzarote,ES708,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,3.4,,
Lanzarote,ES708,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,3.6,,
Lanzarote,ES708,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.5,,
Lanzarote,ES708,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,3.4,,
Lanzarote,ES708,2015,2015,Pensiones,PENSIONES,13,,
Lanzarote,ES708,2016,2016,Pensiones,PENSIONES,12.7,,
Lanzarote,ES708,2017,2017,Pensiones,PENSIONES,12.3,,
Lanzarote,ES708,2018,2018,Pensiones,PENSIONES,11.9,,
Lanzarote,ES708,2019,2019,Pensiones,PENSIONES,12.1,,
Lanzarote,ES708,2020,2020,Pensiones,PENSIONES,13.8,,
Lanzarote,ES708,2021,2021,Pensiones,PENSIONES,13.6,,
Lanzarote,ES708,2022,2022,Pensiones,PENSIONES,13.1,,
Lanzarote,ES708,2023,2023,Pensiones,PENSIONES,12.8,,
Lanzarote,ES708,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,4.1,,
Lanzarote,ES708,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.6,,
Lanzarote,ES708,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.2,,
Lanzarote,ES708,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,,
Lanzarote,ES708,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,,
Lanzarote,ES708,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,13.7,,
Lanzarote,ES708,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,9.7,,
Lanzarote,ES708,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.4,,
Lanzarote,ES708,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2,,
Arrecife,35004,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,66.9,,
Arrecife,35004,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,68.4,,
Arrecife,35004,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,68.9,,
Arrecife,35004,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,69.1,,
Arrecife,35004,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,68.7,,
Arrecife,35004,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,56.9,,
Arrecife,35004,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,59.3,,
Arrecife,35004,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,67.8,,
Arrecife,35004,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,68.3,,
Arrecife,35004,2015,2015,Otros ingresos,OTROS_INGRESOS,10.4,,
Arrecife,35004,2016,2016,Otros ingresos,OTROS_INGRESOS,10,,
Arrecife,35004,2017,2017,Otros ingresos,OTROS_INGRESOS,10.7,,
Arrecife,35004,2018,2018,Otros ingresos,OTROS_INGRESOS,10.9,,
Arrecife,35004,2019,2019,Otros ingresos,OTROS_INGRESOS,11,,
Arrecife,35004,2020,2020,Otros ingresos,OTROS_INGRESOS,9.6,,
Arrecife,35004,2021,2021,Otros ingresos,OTROS_INGRESOS,11,,
Arrecife,35004,2022,2022,Otros ingresos,OTROS_INGRESOS,10.6,,
Arrecife,35004,2023,2023,Otros ingresos,OTROS_INGRESOS,11.1,,
Arrecife,35004,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,2.7,,
Arrecife,35004,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,2.8,,
Arrecife,35004,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,2.9,,
Arrecife,35004,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,3,,
Arrecife,35004,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,3.2,,
Arrecife,35004,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,3.9,,
Arrecife,35004,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,4.4,,
Arrecife,35004,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.2,,
Arrecife,35004,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,4.1,,
Arrecife,35004,2015,2015,Pensiones,PENSIONES,14.9,,
Arrecife,35004,2016,2016,Pensiones,PENSIONES,14.4,,
Arrecife,35004,2017,2017,Pensiones,PENSIONES,13.7,,
Arrecife,35004,2018,2018,Pensiones,PENSIONES,13.2,,
Arrecife,35004,2019,2019,Pensiones,PENSIONES,13.2,,
Arrecife,35004,2020,2020,Pensiones,PENSIONES,15,,
Arrecife,35004,2021,2021,Pensiones,PENSIONES,14.9,,
Arrecife,35004,2022,2022,Pensiones,PENSIONES,14.4,,
Arrecife,35004,2023,2023,Pensiones,PENSIONES,13.9,,
Arrecife,35004,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,5.2,,
Arrecife,35004,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,4.5,,
Arrecife,35004,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.9,,
Arrecife,35004,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.8,,
Arrecife,35004,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.9,,
Arrecife,35004,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,14.5,,
Arrecife,35004,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,10.4,,
Arrecife,35004,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3,,
Arrecife,35004,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,,
Haría,35010,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,59.4,,
Haría,35010,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,59.5,,
Haría,35010,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,58.8,,
Haría,35010,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,58.7,,
Haría,35010,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,59,,
Haría,35010,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,55.2,,
Haría,35010,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,55.5,,
Haría,35010,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,56.8,,
Haría,35010,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,57.2,,
Haría,35010,2015,2015,Otros ingresos,OTROS_INGRESOS,13.2,,
Haría,35010,2016,2016,Otros ingresos,OTROS_INGRESOS,13.4,,
Haría,35010,2017,2017,Otros ingresos,OTROS_INGRESOS,14.2,,
Haría,35010,2018,2018,Otros ingresos,OTROS_INGRESOS,15.3,,
Haría,35010,2019,2019,Otros ingresos,OTROS_INGRESOS,15.4,,
Haría,35010,2020,2020,Otros ingresos,OTROS_INGRESOS,12.3,,
Haría,35010,2021,2021,Otros ingresos,OTROS_INGRESOS,13.9,,
Haría,35010,2022,2022,Otros ingresos,OTROS_INGRESOS,16,,
Haría,35010,2023,2023,Otros ingresos,OTROS_INGRESOS,16.7,,
Haría,35010,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,2.8,,
Haría,35010,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,3,,
Haría,35010,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,3.1,,
Haría,35010,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,3.1,,
Haría,35010,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,3,,
Haría,35010,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,3.7,,
Haría,35010,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,3.9,,
Haría,35010,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.2,,
Haría,35010,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,4,,
Haría,35010,2015,2015,Pensiones,PENSIONES,21.9,,
Haría,35010,2016,2016,Pensiones,PENSIONES,21.5,,
Haría,35010,2017,2017,Pensiones,PENSIONES,21.6,,
Haría,35010,2018,2018,Pensiones,PENSIONES,20.7,,
Haría,35010,2019,2019,Pensiones,PENSIONES,20,,
Haría,35010,2020,2020,Pensiones,PENSIONES,21,,
Haría,35010,2021,2021,Pensiones,PENSIONES,20.8,,
Haría,35010,2022,2022,Pensiones,PENSIONES,20.8,,
Haría,35010,2023,2023,Pensiones,PENSIONES,20.1,,
Haría,35010,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.7,,
Haría,35010,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,,
Haría,35010,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.4,,
Haría,35010,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.3,,
Haría,35010,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,,
Haría,35010,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,7.8,,
Haría,35010,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,5.8,,
Haría,35010,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.2,,
Haría,35010,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2,,
San Bartolomé,35018,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,71.3,,
San Bartolomé,35018,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,72.1,,
San Bartolomé,35018,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,71.5,,
San Bartolomé,35018,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,70.9,,
San Bartolomé,35018,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,70,,
San Bartolomé,35018,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,61.9,,
San Bartolomé,35018,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,62.6,,
San Bartolomé,35018,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,68.2,,
San Bartolomé,35018,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,68.2,,
San Bartolomé,35018,2015,2015,Otros ingresos,OTROS_INGRESOS,11.4,,
San Bartolomé,35018,2016,2016,Otros ingresos,OTROS_INGRESOS,11.4,,
San Bartolomé,35018,2017,2017,Otros ingresos,OTROS_INGRESOS,12.1,,
San Bartolomé,35018,2018,2018,Otros ingresos,OTROS_INGRESOS,12.8,,
San Bartolomé,35018,2019,2019,Otros ingresos,OTROS_INGRESOS,13.2,,
San Bartolomé,35018,2020,2020,Otros ingresos,OTROS_INGRESOS,11,,
San Bartolomé,35018,2021,2021,Otros ingresos,OTROS_INGRESOS,13.4,,
San Bartolomé,35018,2022,2022,Otros ingresos,OTROS_INGRESOS,13.8,,
San Bartolomé,35018,2023,2023,Otros ingresos,OTROS_INGRESOS,14.4,,
San Bartolomé,35018,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,2.2,,
San Bartolomé,35018,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,2.2,,
San Bartolomé,35018,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,2.4,,
San Bartolomé,35018,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,2.7,,
San Bartolomé,35018,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,2.7,,
San Bartolomé,35018,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,3.1,,
San Bartolomé,35018,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,3.3,,
San Bartolomé,35018,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.3,,
San Bartolomé,35018,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,3,,
San Bartolomé,35018,2015,2015,Pensiones,PENSIONES,11.5,,
San Bartolomé,35018,2016,2016,Pensiones,PENSIONES,11.2,,
San Bartolomé,35018,2017,2017,Pensiones,PENSIONES,11.2,,
San Bartolomé,35018,2018,2018,Pensiones,PENSIONES,10.8,,
San Bartolomé,35018,2019,2019,Pensiones,PENSIONES,11.2,,
San Bartolomé,35018,2020,2020,Pensiones,PENSIONES,12.5,,
San Bartolomé,35018,2021,2021,Pensiones,PENSIONES,12.6,,
San Bartolomé,35018,2022,2022,Pensiones,PENSIONES,12.5,,
San Bartolomé,35018,2023,2023,Pensiones,PENSIONES,12.5,,
San Bartolomé,35018,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.6,,
San Bartolomé,35018,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.2,,
San Bartolomé,35018,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,
San Bartolomé,35018,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.8,,
San Bartolomé,35018,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,
San Bartolomé,35018,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,11.5,,
San Bartolomé,35018,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,8.1,,
San Bartolomé,35018,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.3,,
San Bartolomé,35018,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,1.9,,
Teguise,35024,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,69.8,,
Teguise,35024,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,70,,
Teguise,35024,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,69.5,,
Teguise,35024,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,67.8,,
Teguise,35024,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,67.8,,
Teguise,35024,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,61.7,,
Teguise,35024,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,62.3,,
Teguise,35024,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,64.9,,
Teguise,35024,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,64.8,,
Teguise,35024,2015,2015,Otros ingresos,OTROS_INGRESOS,14.4,,
Teguise,35024,2016,2016,Otros ingresos,OTROS_INGRESOS,14.4,,
Teguise,35024,2017,2017,Otros ingresos,OTROS_INGRESOS,15.2,,
Teguise,35024,2018,2018,Otros ingresos,OTROS_INGRESOS,17.1,,
Teguise,35024,2019,2019,Otros ingresos,OTROS_INGRESOS,16.7,,
Teguise,35024,2020,2020,Otros ingresos,OTROS_INGRESOS,13.6,,
Teguise,35024,2021,2021,Otros ingresos,OTROS_INGRESOS,16.4,,
Teguise,35024,2022,2022,Otros ingresos,OTROS_INGRESOS,19.3,,
Teguise,35024,2023,2023,Otros ingresos,OTROS_INGRESOS,19.6,,
Teguise,35024,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,2.1,,
Teguise,35024,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,2.2,,
Teguise,35024,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,2.3,,
Teguise,35024,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,2.5,,
Teguise,35024,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,2.5,,
Teguise,35024,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,2.8,,
Teguise,35024,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,3,,
Teguise,35024,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,2.9,,
Teguise,35024,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,2.7,,
Teguise,35024,2015,2015,Pensiones,PENSIONES,11,,
Teguise,35024,2016,2016,Pensiones,PENSIONES,11,,
Teguise,35024,2017,2017,Pensiones,PENSIONES,10.8,,
Teguise,35024,2018,2018,Pensiones,PENSIONES,10.7,,
Teguise,35024,2019,2019,Pensiones,PENSIONES,10.9,,
Teguise,35024,2020,2020,Pensiones,PENSIONES,12.4,,
Teguise,35024,2021,2021,Pensiones,PENSIONES,11.4,,
Teguise,35024,2022,2022,Pensiones,PENSIONES,11,,
Teguise,35024,2023,2023,Pensiones,PENSIONES,11.3,,
Teguise,35024,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.7,,
Teguise,35024,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.4,,
Teguise,35024,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.2,,
Teguise,35024,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2,,
Teguise,35024,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.1,,
Teguise,35024,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,9.5,,
Teguise,35024,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,6.9,,
Teguise,35024,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,1.8,,
Teguise,35024,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,1.6,,
Tías,35028,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,61,,
Tías,35028,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,61.1,,
